lid	GULA2					
Rating Offset	11/16/2016					
Interpolated	logarithmic					
Source	NWS					
Nwsratid	1					
Comment	None					
# GULA2 Gulkana River at Richardson Highway Bridge						
# Rating Curve						
# Base Offset						
#     Value:  -0.8						
# Offset 1						
#						
# Offset 2						
#     Stage:  None  Value:  None						
#     Max Qmeas and Stage:  9195 (cfs) 9.1 (ft)						
#						
#     Comments:     						
#						
#						
#						
#						
#						
#						
#						
#						
#						
#						
Stage	Discharge	Offset				
0.36	0	0				
0.48	0.2	0				
0.6	0.3	0				
0.72	0.4	0				
0.84	0.6	0				
0.96	0.9	0				
1.08	1.3	0				
1.2	1.8	0				
1.32	2.4	0				
1.44	3.2	0				
1.56	4.3	0				
1.68	5.6	0				
1.8	7.2	0				
1.92	9.1	0				
2.04	11.5	0				
2.16	14.4	0				
2.28	17.8	0				
2.4	21.8	0				
2.52	26.6	0				
2.64	32.2	0				
2.76	38.6	0				
2.88	46.1	0				
3	54.8	0				
3.12	64.7	0				
3.24	76	0				
3.36	88.9	0				
3.48	103.6	0				
3.6	120.1	0				
3.72	138.7	0				
3.84	159.6	0				
3.96	183	0				
4.08	209	0				
4.2	238.1	0				
4.32	270.3	0				
4.44	306	0				
4.56	345.4	0				
4.68	388.9	0				
4.8	436.7	0				
4.92	489.2	0				
5.04	546.7	0				
5.16	609.6	0				
5.28	678.2	0				
5.4	753	0				
5.52	834.4	0				
5.64	922.8	0				
5.76	1018.6	0				
5.88	1122.4	0				
6	1234.6	0				
6.12	1355.8	0				
6.24	1486.5	0				
6.36	1627.3	0				
6.48	1778.7	0				
6.6	1941.4	0				
6.72	2116	0				
6.84	2303.1	0				
6.96	2503.5	0				
7.08	2717.8	0				
7.2	2946.8	0				
7.32	3191.3	0				
7.44	3452	0				
7.56	3729.8	0				
7.68	4025.5	0				
7.8	4339.9	0				
7.92	4674.1	0				
8.04	5028.9	0				
8.16	5405.2	0				
8.28	5804.2	0				
8.4	6226.8	0				
8.52	6674.1	0				
8.64	7147.2	0				
8.76	7647.2	0				
8.88	8175.2	0				
9	8732.5	0				
9.12	9320.4	0				
9.24	9940	0				
9.36	10592.7	0				
9.48	11279.9	0				
9.6	12002.9	0				
9.72	12763.1	0				
9.84	13562	0				
9.96	14401.1	0				
10.08	15281.9	0				
10.2	16206.1	0				
10.32	17175.2	0				
10.44	18190.9	0				
10.56	19255	0				
10.68	20369.1	0				
10.8	21535	0				
10.92	22754.7	0				
		0				
		0				
		0				
		0				
		0				
		0				
		0				
		0				
		0				
		0				
		0				
		0				
