#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/wps/portal/wcc/home/dataAccessHelp/helpCenters/reportGeneratorHelp/
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1980-01-01 to 2023-01-01
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 1071: Esther Island, AK
# 
# Data items provided in this file:
#
# Element Name             Value Type  Function Type  Function Duration  Base Data  Measurement Units   Sensor Depth  Element Code  Description                                              
# Air Temperature Maximum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMAX          Maximum air temperature - sub-hourly sampling frequency  
# Air Temperature Minimum  Value       None           Day                N/A        Degrees fahrenheit  N/A           TMIN          Minimum air temperature - sub-hourly sampling frequency  
# Precipitation Increment  Value       None           Day                N/A        Inches              N/A           PRCP          Total precipitation                                      
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Esther Island (1071) 
# Alaska  SNOTEL Site - 50 ft
# Reporting Frequency: Daily; Date Range: 1980-01-01 to 2023-01-01
#
# As of: Jan 26, 2023 3:02:20 PM GMT-08:00
#
Date,Esther Island (1071) Air Temperature Maximum (degF),Esther Island (1071) Air Temperature Minimum (degF),Esther Island (1071) Precipitation Increment (in)
2005-06-01,53.6,42.8,
2005-06-02,62.6,50.0,
2005-06-03,68.0,46.4,
2005-06-04,55.4,46.4,
2005-06-05,62.6,48.2,
2005-06-06,53.6,48.2,
2005-06-07,53.6,48.2,
2005-06-08,53.6,48.2,
2005-06-09,60.8,48.2,
2005-06-10,59.0,46.4,
2005-06-11,62.6,42.8,
2005-06-12,60.8,44.6,
2005-06-13,64.4,46.4,
2005-06-14,64.4,46.4,
2005-06-15,64.4,51.8,
2005-06-16,66.2,50.0,
2005-06-17,55.4,50.0,
2005-06-18,55.4,48.2,
2005-06-19,57.2,46.4,
2005-06-20,66.2,44.6,
2005-06-21,55.4,50.0,
2005-06-22,64.4,48.2,
2005-06-23,64.4,46.4,
2005-06-24,64.4,48.2,
2005-06-25,66.2,48.2,
2005-06-26,66.2,50.0,
2005-06-27,69.8,50.0,
2005-06-28,68.0,53.6,
2005-06-29,64.4,53.6,
2005-06-30,57.2,51.8,
2005-07-01,60.8,51.8,
2005-07-02,59.0,51.8,
2005-07-03,57.2,51.8,
2005-07-04,69.8,51.8,
2005-07-05,68.0,50.0,
2005-07-06,64.4,51.8,
2005-07-07,68.0,53.6,
2005-07-08,68.0,51.8,
2005-07-09,64.4,55.4,
2005-07-10,64.4,53.6,
2005-07-11,59.0,53.6,
2005-07-12,59.0,51.8,
2005-07-13,69.8,50.0,
2005-07-14,68.0,51.8,
2005-07-15,59.0,53.6,
2005-07-16,64.4,51.8,
2005-07-17,64.4,53.6,
2005-07-18,57.2,51.8,
2005-07-19,66.2,51.8,
2005-07-20,64.4,50.0,
2005-07-21,68.0,48.2,
2005-07-22,66.2,50.0,
2005-07-23,60.8,53.6,
2005-07-24,57.2,53.6,
2005-07-25,60.8,51.8,
2005-07-26,60.8,50.0,
2005-07-27,59.0,50.0,
2005-07-28,55.4,50.0,
2005-07-29,53.6,51.8,
2005-07-30,53.6,50.0,
2005-07-31,53.6,50.0,
2005-08-01,55.4,50.0,
2005-08-02,53.6,50.0,
2005-08-03,55.4,51.8,
2005-08-04,66.2,50.0,
2005-08-05,62.6,50.0,
2005-08-06,62.6,50.0,
2005-08-07,69.8,50.0,
2005-08-08,64.4,50.0,
2005-08-09,62.6,51.8,
2005-08-10,75.2,50.0,
2005-08-11,66.2,51.8,
2005-08-12,62.6,51.8,
2005-08-13,62.6,53.6,
2005-08-14,59.0,55.4,
2005-08-15,60.8,53.6,
2005-08-16,59.0,53.6,
2005-08-17,57.2,53.6,
2005-08-18,64.4,51.8,
2005-08-19,57.2,53.6,
2005-08-20,55.4,48.2,
2005-08-21,59.0,46.4,
2005-08-22,55.4,51.8,
2005-08-23,60.8,50.0,
2005-08-24,57.2,46.4,
2005-08-25,60.8,46.4,
2005-08-26,64.4,48.2,
2005-08-27,59.0,48.2,
2005-08-28,57.2,48.2,
2005-08-29,57.2,48.2,
2005-08-30,53.6,48.2,
2005-08-31,60.8,46.4,
2005-09-01,59.0,44.6,
2005-09-02,,,
2005-09-03,,,
2005-09-04,,,
2005-09-05,55.4,50.0,
2005-09-06,57.2,46.4,
2005-09-07,60.8,44.6,
2005-09-08,51.8,48.2,
2005-09-09,59.0,48.2,
2005-09-10,57.2,46.4,
2005-09-11,53.6,48.2,
2005-09-12,60.8,44.6,
2005-09-13,55.4,44.6,
2005-09-14,98.6,98.6,
2005-09-15,53.6,48.2,
2005-09-16,53.6,46.4,
2005-09-17,57.2,44.6,
2005-09-18,57.2,46.4,
2005-09-19,57.2,44.6,
2005-09-20,55.4,44.6,
2005-09-21,50.0,46.4,
2005-09-22,51.8,46.4,
2005-09-23,53.6,42.8,
2005-09-24,53.6,41.0,
2005-09-25,48.2,44.6,
2005-09-26,48.2,42.8,
2005-09-27,50.0,44.6,
2005-09-28,53.6,42.8,
2005-09-29,50.0,42.8,
2005-09-30,51.8,42.8,
2005-10-01,51.8,41.0,0.8
2005-10-02,50.0,39.2,0.0
2005-10-03,50.0,41.0,0.1
2005-10-04,48.2,42.8,0.6
2005-10-05,48.2,42.8,2.1
2005-10-06,48.2,42.8,0.3
2005-10-07,46.4,41.0,0.4
2005-10-08,46.4,41.0,0.8
2005-10-09,44.6,35.6,0.6
2005-10-10,44.6,37.4,1.9
2005-10-11,44.6,37.4,0.5
2005-10-12,41.0,35.6,0.0
2005-10-13,44.6,32.0,0.0
2005-10-14,42.8,32.0,0.0
2005-10-15,44.6,33.8,0.0
2005-10-16,44.6,32.0,0.2
2005-10-17,42.8,35.6,1.1
2005-10-18,44.6,37.4,0.4
2005-10-19,48.2,41.0,0.0
2005-10-20,48.2,39.2,0.5
2005-10-21,44.6,37.4,1.6
2005-10-22,42.8,35.6,1.7
2005-10-23,41.0,33.8,1.2
2005-10-24,41.0,35.6,0.0
2005-10-25,39.2,32.0,0.0
2005-10-26,39.2,32.0,0.0
2005-10-27,37.4,32.0,0.1
2005-10-28,35.6,32.0,0.0
2005-10-29,39.2,32.0,0.0
2005-10-30,39.2,33.8,0.1
2005-10-31,35.6,32.0,0.0
2005-11-01,33.8,30.2,0.0
2005-11-02,32.0,30.2,0.0
2005-11-03,30.2,26.6,0.1
2005-11-04,32.0,24.8,0.0
2005-11-05,30.2,24.8,0.0
2005-11-06,26.6,19.4,0.1
2005-11-07,32.0,24.8,0.1
2005-11-08,37.4,32.0,0.0
2005-11-09,37.4,32.0,1.2
2005-11-10,35.6,32.0,0.1
2005-11-11,33.8,30.2,0.1
2005-11-12,32.0,26.6,0.1
2005-11-13,37.4,28.4,0.0
2005-11-14,37.4,32.0,0.0
2005-11-15,39.2,32.0,0.2
2005-11-16,42.8,35.6,1.1
2005-11-17,44.6,33.8,0.9
2005-11-18,42.8,33.8,2.5
2005-11-19,33.8,32.0,0.2
2005-11-20,33.8,32.0,0.3
2005-11-21,32.0,28.4,0.1
2005-11-22,32.0,28.4,0.0
2005-11-23,30.2,24.8,1.1
2005-11-24,32.0,26.6,0.4
2005-11-25,32.0,24.8,0.1
2005-11-26,30.2,23.0,0.4
2005-11-27,26.6,21.2,0.0
2005-11-28,28.4,24.8,0.0
2005-11-29,28.4,23.0,0.0
2005-11-30,28.4,26.6,0.0
2005-12-01,28.4,17.6,0.0
2005-12-02,26.6,17.6,0.5
2005-12-03,26.6,14.0,0.1
2005-12-04,33.8,26.6,0.0
2005-12-05,39.2,32.0,0.2
2005-12-06,39.2,32.0,2.6
2005-12-07,42.8,37.4,4.0
2005-12-08,42.8,33.8,0.5
2005-12-09,41.0,33.8,1.6
2005-12-10,41.0,32.0,0.5
2005-12-11,37.4,30.2,0.4
2005-12-12,37.4,23.0,0.1
2005-12-13,41.0,33.8,0.0
2005-12-14,44.6,35.6,1.1
2005-12-15,44.6,37.4,4.6
2005-12-16,41.0,37.4,5.4
2005-12-17,44.6,37.4,0.9
2005-12-18,39.2,32.0,0.5
2005-12-19,32.0,30.2,0.2
2005-12-20,41.0,32.0,0.0
2005-12-21,41.0,33.8,1.0
2005-12-22,39.2,35.6,0.6
2005-12-23,39.2,33.8,1.7
2005-12-24,41.0,33.8,0.5
2005-12-25,39.2,32.0,0.6
2005-12-26,42.8,32.0,2.2
2005-12-27,42.8,35.6,0.2
2005-12-28,42.8,32.0,0.9
2005-12-29,41.0,32.0,1.2
2005-12-30,41.0,32.0,0.2
2005-12-31,37.4,32.0,1.1
2006-01-01,37.4,32.0,1.0
2006-01-02,33.8,30.2,0.1
2006-01-03,32.0,28.4,0.1
2006-01-04,33.8,28.4,0.1
2006-01-05,35.6,30.2,0.0
2006-01-06,39.2,33.8,0.0
2006-01-07,39.2,33.8,1.2
2006-01-08,35.6,32.0,1.0
2006-01-09,37.4,32.0,0.0
2006-01-10,35.6,32.0,0.3
2006-01-11,32.0,26.6,0.1
2006-01-12,30.2,26.6,0.1
2006-01-13,26.6,23.0,0.3
2006-01-14,32.0,26.6,0.2
2006-01-15,32.0,17.6,0.0
2006-01-16,28.4,14.0,0.0
2006-01-17,30.2,15.8,0.4
2006-01-18,32.0,26.6,0.0
2006-01-19,30.2,26.6,0.2
2006-01-20,37.4,30.2,0.9
2006-01-21,35.6,21.2,0.3
2006-01-22,26.6,15.8,0.3
2006-01-23,21.2,17.6,0.5
2006-01-24,19.4,6.8,0.7
2006-01-25,21.2,6.8,0.9
2006-01-26,23.0,5.0,0.0
2006-01-27,23.0,10.4,0.0
2006-01-28,28.4,12.2,0.0
2006-01-29,26.6,15.8,0.0
2006-01-30,28.4,12.2,0.0
2006-01-31,24.8,12.2,0.0
2006-02-01,23.0,17.6,0.0
2006-02-02,19.4,3.2,0.0
2006-02-03,32.0,-0.4,0.7
2006-02-04,39.2,28.4,0.0
2006-02-05,39.2,32.0,0.2
2006-02-06,35.6,28.4,2.7
2006-02-07,33.8,24.8,0.2
2006-02-08,39.2,32.0,0.0
2006-02-09,41.0,32.0,1.6
2006-02-10,46.4,33.8,2.5
2006-02-11,39.2,32.0,3.3
2006-02-12,37.4,32.0,2.2
2006-02-13,35.6,28.4,0.2
2006-02-14,35.6,28.4,0.0
2006-02-15,41.0,30.2,0.0
2006-02-16,37.4,26.6,0.0
2006-02-17,37.4,33.8,0.0
2006-02-18,39.2,32.0,0.3
2006-02-19,37.4,26.6,0.4
2006-02-20,33.8,28.4,0.2
2006-02-21,32.0,28.4,0.1
2006-02-22,32.0,19.4,0.0
2006-02-23,30.2,21.2,0.1
2006-02-24,26.6,15.8,0.3
2006-02-25,30.2,19.4,1.3
2006-02-26,32.0,15.8,0.0
2006-02-27,26.6,23.0,1.0
2006-02-28,28.4,19.4,0.3
2006-03-01,32.0,17.6,0.6
2006-03-02,39.2,24.8,0.2
2006-03-03,35.6,19.4,0.2
2006-03-04,35.6,30.2,0.0
2006-03-05,35.6,32.0,0.3
2006-03-06,35.6,30.2,0.1
2006-03-07,33.8,30.2,0.0
2006-03-08,32.0,28.4,0.1
2006-03-09,33.8,14.0,0.0
2006-03-10,33.8,5.0,0.1
2006-03-11,35.6,15.8,0.2
2006-03-12,35.6,10.4,0.1
2006-03-13,35.6,6.8,0.1
2006-03-14,32.0,5.0,0.1
2006-03-15,32.0,5.0,0.1
2006-03-16,28.4,14.0,0.1
2006-03-17,32.0,21.2,0.2
2006-03-18,37.4,32.0,0.1
2006-03-19,39.2,32.0,0.1
2006-03-20,48.2,35.6,0.1
2006-03-21,48.2,32.0,0.0
2006-03-22,44.6,30.2,0.2
2006-03-23,46.4,30.2,0.1
2006-03-24,42.8,32.0,0.1
2006-03-25,46.4,30.2,0.0
2006-03-26,44.6,28.4,0.0
2006-03-27,44.6,26.6,0.3
2006-03-28,42.8,26.6,0.1
2006-03-29,42.8,24.8,0.0
2006-03-30,37.4,33.8,0.1
2006-03-31,41.0,32.0,0.0
2006-04-01,37.4,32.0,0.2
2006-04-02,35.6,32.0,0.2
2006-04-03,39.2,33.8,0.1
2006-04-04,46.4,33.8,0.2
2006-04-05,39.2,33.8,0.2
2006-04-06,46.4,30.2,0.2
2006-04-07,42.8,28.4,0.0
2006-04-08,39.2,33.8,0.1
2006-04-09,44.6,33.8,0.2
2006-04-10,41.0,32.0,0.0
2006-04-11,37.4,32.0,0.1
2006-04-12,42.8,32.0,0.2
