xmACIS2
Single-Station
Multi-Station
Selection: Daily Data Listing
Options selection
Station selection

ID

List

Search
Station:
Kenai

Change CWA

Go
Data for KENAI AIRPORT, AK

Date, MaxTemperature, MinTemperature, Precipitation
1980-01-01, -10, -27, 0.00
1980-01-02, -3, -23, 0.00
1980-01-03, -7, -21, 0.00
1980-01-04, 17, -21, 0.25
1980-01-05, 26, 17, 0.24
1980-01-06, 27, 18, T
1980-01-07, 23, -4, 0.00
1980-01-08, 7, -8, 0.00
1980-01-09, 19, -15, 0.00
1980-01-10, 16, 3, 0.00
1980-01-11, 9, 1, 0.00
1980-01-12, 6, -23, 0.00
1980-01-13, 6, -31, T
1980-01-14, 12, -8, 0.00
1980-01-15, 10, -13, 0.08
1980-01-16, 13, -6, 0.04
1980-01-17, 37, 12, 0.25
1980-01-18, 43, 36, 0.02
1980-01-19, 39, 26, 0.16
1980-01-20, 42, 24, 0.10
1980-01-21, 37, 33, 0.85
1980-01-22, 34, 15, 0.96
1980-01-23, 18, 2, 0.00
1980-01-24, 17, 2, 0.00
1980-01-25, 15, 1, 0.00
1980-01-26, 21, 9, 0.00
1980-01-27, 25, 17, T
1980-01-28, 25, -1, 0.00
1980-01-29, 27, 20, 0.00
1980-01-30, 20, 12, 0.00
1980-01-31, 23, 13, 0.08
1980-02-01, 24, 21, 0.41
1980-02-02, 35, 23, 0.06
1980-02-03, 33, 12, 0.05
1980-02-04, 39, 23, 0.22
1980-02-05, 38, 27, T
1980-02-06, 40, 28, T
1980-02-07, 28, 16, 0.05
1980-02-08, 40, 18, 0.00
1980-02-09, 42, 35, 0.03
1980-02-10, 42, 34, 0.05
1980-02-11, 44, 35, 0.01
1980-02-12, 39, 23, 0.00
1980-02-13, 33, 15, 0.00
1980-02-14, 33, 13, 0.00
1980-02-15, 28, 10, 0.00
1980-02-16, 26, 8, 0.00
1980-02-17, 22, 3, 0.00
1980-02-18, 25, 6, 0.00
1980-02-19, 23, 6, 0.00
1980-02-20, 22, 15, T
1980-02-21, 26, 16, 0.09
1980-02-22, 32, 8, T
1980-02-23, 43, 32, 0.09
1980-02-24, 34, 20, T
1980-02-25, 32, 17, 0.00
1980-02-26, 34, 15, 0.00
1980-02-27, 35, 29, 0.02
1980-02-28, 38, 16, T
1980-02-29, 36, 12, 0.00
1980-03-01, 32, 9, 0.00
1980-03-02, 32, 25, T
1980-03-03, 33, 30, 0.01
1980-03-04, 43, 31, 0.00
1980-03-05, 37, 31, T
1980-03-06, 40, 31, T
1980-03-07, 35, 26, 0.14
1980-03-08, 36, 26, 0.06
1980-03-09, 35, 8, 0.00
1980-03-10, 31, 6, 0.00
1980-03-11, 32, 8, 0.00
1980-03-12, 30, 10, 0.00
1980-03-13, 25, 6, 0.00
1980-03-14, 20, -5, 0.00
1980-03-15, 20, -11, 0.00
1980-03-16, 23, 4, 0.00
1980-03-17, 22, -7, 0.07
1980-03-18, 32, 10, T
1980-03-19, 31, 4, 0.00
1980-03-20, 37, 20, 0.21
1980-03-21, 40, 30, T
1980-03-22, 38, 23, 0.00
1980-03-23, 41, 21, 0.00
1980-03-24, 40, 32, 0.00
1980-03-25, 40, 26, 0.00
1980-03-26, 39, 29, 0.08
1980-03-27, 38, 29, T
1980-03-28, 38, 25, 0.00
1980-03-29, 41, 21, T
1980-03-30, 42, 34, T
1980-03-31, 44, 34, 0.04
1980-04-01, 44, 33, 0.03
1980-04-02, 42, 31, 0.07
1980-04-03, 47, 30, 0.00
1980-04-04, 45, 35, 0.01
1980-04-05, 44, 34, 0.00
1980-04-06, 48, 32, 0.00
1980-04-07, 39, 33, 0.09
1980-04-08, 52, 32, 0.00
1980-04-09, 48, 27, 0.00
1980-04-10, 50, 26, 0.00
1980-04-11, 48, 33, 0.00
1980-04-12, 42, 31, T
1980-04-13, 41, 32, 0.04
1980-04-14, 42, 28, T
1980-04-15, 44, 23, 0.00
1980-04-16, 46, 30, 0.00
1980-04-17, 48, 28, 0.00
1980-04-18, 50, 33, 0.00
1980-04-19, 49, 31, 0.00
1980-04-20, 54, 31, 0.00
1980-04-21, 49, 36, T
1980-04-22, 46, 34, 0.00
1980-04-23, 44, 30, 0.00
1980-04-24, 50, 33, 0.00
1980-04-25, 52, 32, 0.00
1980-04-26, 55, 37, 0.00
1980-04-27, 53, 38, 0.00
1980-04-28, 52, 34, 0.03
